2024-04-14 12:42:22.420 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:42:22.420 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:42:23.226 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:42:23.226 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:43:00.361 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:43:00.361 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:43:00.365 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:43:00.365 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:43:00.365 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:43:00.372 | DEBUG    | edmacro:__load_assets:63 - Loaded 22 assets.
2024-04-14 12:43:00.372 | DEBUG    | edmacro:__load_assets:63 - Loaded 22 assets.
2024-04-14 12:43:00.372 | DEBUG    | edmacro:__load_assets:63 - Loaded 22 assets.
2024-04-14 12:43:00.373 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:43:00.373 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:43:00.373 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:43:01.128 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:43:01.128 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:43:01.128 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:43:29.840 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:43:29.840 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:43:29.840 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:43:29.844 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:43:29.844 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:43:29.844 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:43:29.844 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:43:29.851 | DEBUG    | edmacro:__load_assets:63 - Loaded 22 assets.
